source,label,agree,disagree,publisher,site
The Federalist,Right,3363,1471,http://thefederalist.com/,thefederalist.com
The Flip Side,Mixed,296,237,https://www.theflipside.io/,www.theflipside.io
The Gateway Pundit,Right,551,392,http://www.thegatewaypundit.com/,www.thegatewaypundit.com
The Globe and Mail,Center,26,29,https://www.theglobeandmail.com/,www.theglobeandmail.com
The Guardian,Lean Left,7198,4536,https://www.theguardian.com/us,www.theguardian.com
The Heritage Foundation,Lean Right,2424,1397,http://www.heritage.org/,www.heritage.org
The Hill,Center,8773,11207,https://www.thehill.com,www.thehill.com
The Imaginative Conservative,Right,30,29,https://theimaginativeconservative.org/,theimaginativeconservative.org
The Intercept,Left,1826,823,https://theintercept.com,theintercept.com
The Justice,Lean Left,128,145,http://www.thejustice.org/,www.thejustice.org
The Korea Herald,Center,170,113,http://www.koreaherald.com/index.php,www.koreaherald.com
The Libertarian Republic,Lean Right,825,675,http://thelibertarianrepublic.com/,thelibertarianrepublic.com
The Nation,Left,1089,360,http://www.thenation.com,www.thenation.com
The National Pulse,Right,9,6,https://thenationalpulse.com/,thenationalpulse.com
The New Yorker,Left,3543,1054,https://www.newyorker.com/,www.newyorker.com
The Observer (New York),Center,209,363,http://observer.com/,observer.com
The Oracle,Center,83,115,http://www.usforacle.com/,www.usforacle.com
The Philadelphia Inquirer,Lean Left,122,135,http://www.philly.com/,www.philly.com
The Post Millennial,Lean Right,125,80,https://www.thepostmillennial.com/,www.thepostmillennial.com
The Red and Black,Center,152,107,http://www.redandblack.com/,www.redandblack.com
The Reliable Bias,Center,102,137,http://reliablebias.com/home/,reliablebias.com
The Republican,Center,190,422,https://www.therepublicannews.com/,www.therepublicannews.com
The Resurgent,Right,75,57,https://theresurgent.com/,theresurgent.com
The Sacramento Bee,Lean Left,279,305,http://www.sacbee.com/,www.sacbee.com
The Saturday Evening Post,Center,153,106,https://www.saturdayeveningpost.com/,www.saturdayeveningpost.com
The Telegraph - UK,Lean Right,945,482,http://www.telegraph.co.uk/,www.telegraph.co.uk
The Texan,Lean Right,50,44,https://thetexan.news/,thetexan.news
The Texas Tribune,Lean Left,51,44,https://www.texastribune.org/,www.texastribune.org
The Verge,Lean Left,554,371,http://www.theverge.com/politics,www.theverge.com
The Week - News,Center,3206,2474,http://theweek.com/,theweek.com
The Week - Opinion,Lean Left,37,30,https://theweek.com/section/opinion,theweek.com
The Weekly Standard,Right,1297,775,http://www.weeklystandard.com/,www.weeklystandard.com
The Western Journal,Right,903,403,http://www.westernjournalism.com/,www.westernjournalism.com
TheBlaze.com,Right,72527,61696,http://www.theblaze.com/,www.theblaze.com
ThinkProgress,Left,2639,851,http://thinkprogress.org/,thinkprogress.org
Time Magazine,Lean Left,5077,4205,http://www.time.com/time/,www.time.com
Townhall,Right,9050,13822,http://townhall.com/,townhall.com
Truth or Fiction ,Center,263,218,https://www.truthorfiction.com/,www.truthorfiction.com
